;; -*- coding: utf-8-mcs-er -*-
M-17575 	&I-M-17575;	⿰⺡&GT-04385;
M-20346 	&I-M-20346;	⿰⺨戉
M-20347 	&I-M-20347;	⿰⺨且
M-20348 	&I-M-20348;	⿰⺨旦
M-20349 	&I-M-20349;	⿰⺨白
M-20350 	&I-M-20350;	⿰白犬
M-20351 	&M-20351;	
M-20352 	&I-M-20352;	⿰⺨&M-17027;
M-20353 	&M-20353;	
M-20354 	&I-M-20354;	⿲⺨亻才
M-20355 	&M-20355;	
M-20356 	&M-20356;	
M-20357 	&I-M-20357;	⿰⺨由
M-20358 	&M-20358;	
M-20359 	&I-M-20359;	⿰⺨氷
M-20360 	&I-M-20360;	⿰⺨古
M-20361 	&I-M-20361;	⿰⺨亘
M-20362 	&I-M-20362;	⿰⺨艮
M-20363 	&I-M-20363;	⿰⺨夷
M-20364 	&I-M-20364;	⿰⺨伏
M-20365 	&I-M-20365;	⿰⺨交
M-20366 	&I-M-20366;	⿰⺨各
M-20367 	&I-M-20367;	⿰⺨合
M-20368 	&I-M-20368;	⿰⺨兆
M-20369 	&I-M-20369;	⿰⺨因
M-20370 	&I-M-20370;	⿰⺨伊
M-20371 	&I-M-20371;	⿰⺨并
M-20372 	&I-M-20372;	⿰⺨&CDP-8D5F;
M-20373 	&I-M-20373;	⿰⺨米
M-20374 	&I-M-20374;	⿰⺨吉
M-20375 	&I-M-20375;	⿰⺨吏
M-20376 	&I-M-20376;	⿰⺨朱
M-20377 	&I-M-20377;	⿰⺨旬
M-20378 	&I-M-20378;	⿰⺨⿸尸工
M-20379 	&I-M-20379;	⿰⺨曳
M-20380 	&I-M-20380;	⿰⺨𠕋
M-20381 	&I-M-20381;	⿰⺨舌
M-20382 	&I-M-20382;	⿰⺨多
M-20383 	&I-M-20383;	⿰⺨自
M-20384 	&I-M-20384;	⿰⺨戎
M-20385 	&I-M-20385;	⿰⺨百
M-20386 	&M-20386;	
M-20387 	&I-M-20387;	⿰⺨聿
M-20388 	&I-M-20388;	⿰⺨⿱巛山
M-20389 	&I-M-20389;	⿰⺨匡
M-20390 	&I-M-20390;	⿰⺨守
M-20391 	&I-M-20391;	⿰⺨同
M-20392 	&I-M-20392;	⿰⺨休
M-20393 	&M-20393;	
M-20394 	&I-M-20394;	⿰⺨老
M-20395 	&I-M-20395;	⿰⺨⿹⺄&CDP-88C6;
M-20396 	&I-M-20396;	⿰⺨至
M-20397 	&I-M-20397;	⿰⺨件
M-20398 	𤞍	
M-20399 	&M-20399;	
M-20400 	&M-20400;	
M-20401 	&I-M-20401;	⿰⺨⿱一丘
M-20402 	𤞋	
M-20403 	&M-20403;	
M-20404 	𤞊	
M-20405 	&M-20405;	⿰肙犬
M-20406 	&I-M-20406;	⿰⺨虫
M-20406'	狭	⿰⺨夹
M-20407 	&I-M-20407;	⿰⺨吳
M-20408 	&M-20408;	
M-20409 	&I-M-20409;	⿰⺨余
M-20410 	&I-M-20410;	⿰⺨坒
M-20411 	&I-M-20411;	⿰⺨足
M-20412 	&I-M-20412;	⿰⺨孝
M-20413 	&I-M-20413;	⿰⺨尨
M-20414 	&I-M-20414;	⿰⺨吾
M-20415 	&M-20415;	
M-20416 	&I-M-20416;	⿰⺨希
M-20417 	&I-M-20417;	⿰希犬
M-20418 	&I-M-20418;	⿱壯犬
M-20419 	&I-M-20419;	⿰⺨否
M-20420 	&I-M-20420;	⿰⺨更
M-20421 	&I-M-20421;	⿰⺨豸
M-20422 	&I-M-20422;	⿰⺨谷
M-20423 	&I-M-20423;	⿰⺨豆
M-20424 	&I-M-20424;	⿰⺨&CDP-8CBA;
M-20425 	&I-M-20425;	⿰⺨巠
M-20426 	&I-M-20426;	⿰⺨肙
M-20427 	&I-M-20427;	⿰⺨里
M-20428 	&I-M-20428;	⿰⺨夾
M-20429 	&I-M-20429;	⿰⺨邪
M-20430 	&I-M-20430;	
M-20431 	&M-20431;	
M-20432 	&I-M-20432;	⿰⺨&GT-39586;
M-20433 	&I-M-20433;	⿰⺨貝
M-20434 	&I-M-20434;	⿰⺨折
M-20435 	&M-20435;	
M-20436 	&M-20436;	⿰⺨&M-09571;
M-20437 	&I-M-20437;	⿰⺨⿱卝干
M-20438 	&M-20438;	
M-20439 	&M-20439;	
M-20440 	&I-M-20440;	⿰⺨⿱日工
M-20441 	&I-M-20441;	⿰犴犬
M-20442 	&M-20442;	
M-20443 	&I-M-20443;	⿰⺨⿰士⿺乚士
M-20444 	&M-20444;	
M-20445 	&M-20445;	
M-20446 	&M-20446;	
M-20447 	&I-M-20447;	⿰⺨&CDP-8DA3;
M-20448 	&M-20448;	
M-20449 	&I-M-20449;	
M-20450 	&M-20450;	
M-20451 	&I-M-20451;	⿰⺨沙
M-20452 	&I-M-20452;	⿰⺨求
M-20453 	&I-M-20453;	⿰⺨利
M-20454 	&I-M-20454;	⿰⺨旱
M-20455 	&I-M-20455;	⿰⺨京󠄀
M-20456 	&I-M-20456;	⿰⺨&GT-57172;
M-20457 	&I-M-20457;	⿱&GT-57172;犬
M-20458 	&M-20458;	
M-20459 	&I-M-20459;	⿰⺨沓
M-20460 	&I-M-20460;	⿰⺨疌
M-20461 	&I-M-20461;	
M-20462 	&M-20462;	
M-20463 	&I-M-20463;	⿰⺨卑
M-20464 	&I-M-20464;	⿰⺨其
M-20465 	&I-M-20465;	⿰⺨委
M-20466 	&I-M-20466;	⿰⺨匊
M-20467 	&I-M-20467;	⿰⺨&CDP-8D77;
M-20468 	&I-M-20468;	⿰⺨兒
M-20469 	&I-M-20469;	⿱犬⿰犬犬
M-20470 	&I-M-20470;	⿰來犬
M-20471 	&I-M-20471;	⿰⺨來
M-20472 	&I-M-20472;	⿰⺨昔
M-20473 	&I-M-20473;	⿰⺨剎
M-20474 	&M-20474;	⿰⺨戔
M-20475 	&I-M-20475;	⿰⺨肩
M-20476 	&I-M-20476;	⿰⺨炎
M-20477 	&I-M-20477;	⿰⺨羌
M-20478 	&I-M-20478;	⿰⺨東
M-20479 	&I-M-20479;	⿰⺨昆
M-20480 	&I-M-20480;	⿰⺨岸
M-20481 	&M-20481;	
M-20482 	&M-20482;	⿰&CDP-8CCB;犬
M-20483 	&I-M-20483;	⿰⺨果
M-20484 	&M-20484;	
M-20485 	&I-M-20485;	⿰爿⿱&CDP-88F0;犬
M-20486 	&M-20486;	
M-20487 	&I-M-20487;	⿰⺨&M-07106;
M-20488 	&I-M-20488;	⿰⺨弥
M-20489 	&I-M-20489;	⿰⺨易
M-20490 	&I-M-20490;	⿰⺨昌
M-20491 	&I-M-20491;	⿰⺨屈
M-20492 	&I-M-20492;	⿰⺨咎
M-20493 	&I-M-20493;	⿰⺨奇
M-20494 	&I-M-20494;	⿰⺨制
M-20495 	&I-M-20495;	
M-20496 	&I-M-20496;	⿰⺨卓
M-20497 	&M-20497;	
M-20498 	&I-M-20498;	⿰⺨孟
M-20499 	&I-M-20499;	
M-20500 	&I-M-20500;	⿰⺨&GT-03504;
M-20501 	&I-M-20501;	⿱叔犬
M-20502 	&M-20502;	
M-20503 	&I-M-20503;	⿰⺨&M-11712;
M-20504 	&I-M-20504;	⿰炙犬
M-20505 	&I-M-20505;	⿰⺨受
M-20506 	&M-20506;	
M-20507 	&I-M-20507;	⿰⺨忽
M-20508 	&M-20508;	
M-20509 	&M-20509;	
M-20510 	&I-M-20510;	⿰⺨⿱⿺𠃊口&CDP-8A73;
M-20511 	&I-M-20511;	⿰⺨舍
M-20511'	猪	⿰⺨者
M-20512 	&I-M-20512;	⿰⺨長
M-20512'	猟	
M-20513 	&I-M-20513;	⿰⺨胡
M-20514 	&M-20514;	⿰⺨&CDP-88E7;
M-20515 	&M-20515;	
M-20516 	&I-M-20516;	⿰⺨&CDP-8CE8;
M-20517 	&I-M-20517;	
M-20518 	&I-M-20518;	⿰⺨⿸虍巾
M-20519 	&I-M-20519;	⿰⺨畏
M-20520 	&M-20520;	
M-20521 	&M-20521;	
M-20522 	&M-20522;	⿰⺨風
M-20523 	&I-M-20523;	⿰⺨胥
M-20524 	&I-M-20524;	⿰⺨&GT-04428;
M-20525 	&I-M-20525;	
M-20526 	&I-M-20526;	
M-20527 	&I-M-20527;	⿰⺨皇
M-20528 	&I-M-20528;	⿰⺨星
M-20529 	&I-M-20529;	⿰⺨咸
M-20530 	&I-M-20530;	⿰盾犬
M-20531 	&I-M-20531;	⿰⺨盈
M-20532 	&I-M-20532;	⿰⺨軍
M-20533 	&I-M-20533;	⿰犬軍
M-20534 	&I-M-20534;	
M-20535 	&I-M-20535;	
M-20536 	&I-M-20536;	⿰⺨胃
M-20537 	&I-M-20537;	⿰⺨是
M-20538 	&M-20538;	⿰⺨&GT-12518;
M-20539 	&I-M-20539;	⿰南犬
M-20540 	&I-M-20540;	⿰⺨耑
M-20541 	&M-20541;	⿰⺨耎
M-20542 	&M-20542;	
M-20543 	&I-M-20543;	
M-20544 	&I-M-20544;	⿰⺨柔
M-20545 	&I-M-20545;	⿰⺨思
M-20546 	&I-M-20546;	
M-20547 	&I-M-20547;	⿰⺨⿹&CDP-896A;廾
M-20548 	&M-20548;	
M-20549 	&I-M-20549;	⿰&CDP-8C65;犬
M-20550 	&I-M-20550;	⿰⺨曷
M-20551 	&I-M-20551;	⿰⺨叚
M-20552 	&M-20552;	
M-20553 	&I-M-20553;	⿰⺨侯
M-20554 	&I-M-20554;	⿰⺨&CDP-8AC7;
M-20555 	&M-20555;	
M-20556 	&I-M-20556;	⿰⺨&GT-14816;
M-20557 	&M-20557;	
M-20558 	&I-M-20558;	
M-20559 	&I-M-20559;	⿰⺨&CDP-8DA8;
M-20560 	&I-M-20560;	⿱&CDP-8CD1;犬
M-20561 	&I-M-20561;	⿰⺨眉
M-20562 	&I-M-20562;	⿰⺨革
M-20563 	&I-M-20563;	⿰⺨⿱臼又
M-20564 	&M-20564;	
M-20565 	&M-20565;	
M-20566 	&M-20566;	
M-20567 	&M-20567;	
M-20568 	&M-20568;	
M-20569 	&M-20569;	
M-20570 	&M-20570;	
M-20571 	&I-M-20571;	⿰⺨⿱爫缶
M-20572 	&M-20572;	⿰⺨般
M-20573 	&I-M-20573;	
M-20574 	&M-20574;	
M-20575 	&I-M-20575;	⿰⺨⿱⿰&C1-4443;&C1-4443;止
M-20576 	&M-20576;	
M-20577 	&I-M-20577;	⿰⺨留
M-20578 	&I-M-20578;	⿰⺨尃
M-20579 	&I-M-20579;	⿰⺨冥󠄀
M-20580 	&M-20580;	
M-20581 	&I-M-20581;	
M-20582 	&M-20582;	
M-20583 	&I-M-20583;	⿰⺨&GT-60709;
M-20584 	&I-M-20584;	⿰⺨袁
M-20585 	&I-M-20585;	⿰⺨員
M-20586 	&M-20586;	
M-20587 	&M-20587;	
M-20588 	&I-M-20588;	⿰⺨叟
M-20589 	&I-M-20589;	⿰⺨能
M-20590 	&I-M-20590;	⿰⺨蚤
M-20591 	&I-M-20591;	⿰⺨哥
M-20592 	&M-20592;	
M-20593 	&M-20593;	
M-20594 	&I-M-20594;	⿰⺨⿳屮一虫
M-20595 	&I-M-20595;	⿰⺨馬
M-20596 	&I-M-20596;	⿰⺨原
M-20597 	&M-20597;	
M-20598 	&I-M-20598;	⿰⺨差
M-20599 	&I-M-20599;	⿰豈犬
M-20600 	&I-M-20600;	⿰⿱&CDP-8D44;犬&GT-21300;
M-20601 	&I-M-20601;	⿰⺨⿱囟比
M-20602 	&I-M-20602;	⿰⺨恙
M-20603 	&I-M-20603;	
M-20604 	&I-M-20604;	⿰⺨&M-30937;
M-20605 	&I-M-20605;	⿰⺨&GT-36863;
M-20606 	&M-20606;	
M-20607 	&I-M-20607;	⿰⺨盍
M-20608 	&M-20608;	
M-20609 	&I-M-20609;	⿰⺨師
M-20610 	&I-M-20610;	⿰⺨皋
M-20611 	&I-M-20611;	
M-20612 	&M-20612;	
M-20613 	&M-20613;	
M-20614 	&M-20614;	
M-20615 	&I-M-20615;	⿰⺨⿱右冋
M-20616 	&M-20616;	⿰⺨益
M-20617 	&M-20617;	
M-20618 	&I-M-20618;	⿰⺨栗
M-20619 	&I-M-20619;	⿰⺨&GT-32227;
M-20620 	&M-20620;	
M-20621 	&I-M-20621;	⿰⺨帶
M-20622 	&I-M-20622;	⿰⺨畢
M-20623 	&M-20623;	
M-20624 	&I-M-20624;	⿱⿰⿱士冗&GT-21300;犬
M-20625 	&I-M-20625;	⿰⺨戚
M-20626 	&I-M-20626;	⿰⺨曼
M-20627 	&I-M-20627;	
M-20628 	&M-20628;	
M-20629 	&I-M-20629;	⿰⺨堅
M-20630 	&I-M-20630;	⿰⺨羕
M-20631 	&I-M-20631;	⿰⺨&GT-11819;
M-20632 	&I-M-20632;	⿰⺨㒼󠄀
M-20633 	&M-20633;	
M-20634 	&I-M-20634;	⿰⺨婁
M-20635 	&I-M-20635;	⿰⺨欶
M-20636 	&I-M-20636;	⿰⺨巢
M-20637 	&I-M-20637;	⿱將犬
M-20638 	&M-20638;	⿰⺨&M-31078;
M-20639 	&I-M-20639;	⿲⺨車攵
M-20640 	&I-M-20640;	⿰⺨⿱厽尒
M-20641 	&I-M-20641;	⿰⺨從
M-20642 	&I-M-20642;	⿰⺨參
M-20643 	&I-M-20643;	
M-20644 	&M-20644;	
M-20645 	&I-M-20645;	⿰⺨斬
M-20646 	&I-M-20646;	
M-20647 	&M-20647;	⿰⺨敖
M-20648 	&M-20648;	
M-20649 	&I-M-20649;	⿰⿱甘肉犬
M-20650 	&M-20650;	
M-20651 	&I-M-20651;	⿰⺨⿱⺿&CDP-886A;
M-20652 	&I-M-20652;	⿰⺨患
M-20653 	&I-M-20653;	⿰⺨晨
M-20654 	&M-20654;	
M-20655 	&M-20655;	
M-20656 	&M-20656;	
M-20657 	&M-20657;	
M-20658 	&I-M-20658;	⿰⺨叄
M-20659 	&M-20659;	
M-20660 	&M-20660;	
M-20661 	&M-20661;	
M-20662 	&M-20662;	
M-20663 	&M-20663;	
M-20664 	&I-M-20664;	⿰⺨皐
M-20665 	&I-M-20665;	
M-20666 	&I-M-20666;	⿰犬責
M-20667 	&I-M-20667;	⿰⺨⿱自𠦂
M-20668 	&I-M-20668;	⿰⺨虛
M-20669 	&I-M-20669;	⿰⺨賁
M-20670 	&I-M-20670;	⿰⺨⿱而而
M-20671 	&I-M-20671;	⿰⺨厥
M-20672 	&I-M-20672;	
M-20673 	&M-20673;	⿰⺨敝
M-20674 	&M-20674;	⿰⺨閒
M-20675 	&M-20675;	⿰⺨閑
M-20676 	&I-M-20676;	⿰⺨黄
M-20677 	&I-M-20677;	⿰⺨惢
M-20678 	&M-20678;	
M-20679 	&I-M-20679;	⿰⺨菐
M-20680 	&M-20680;	⿰⺨粦
M-20681 	&M-20681;	⿰粦犬
M-20682 	&I-M-20682;	⿰⺨爲
M-20683 	&I-M-20683;	⿰⺨隋
M-20684 	&I-M-20684;	⿰⺨&M-23863;
M-20685 	&I-M-20685;	⿰⺨厤
M-20686 	&I-M-20686;	⿰⺨番
M-20687 	&I-M-20687;	⿰⺨&GT-33246;
M-20688 	&I-M-20688;	⿰⺨壹
M-20689 	&I-M-20689;	⿰⺨&GT-16742;
M-20690 	&I-M-20690;	⿰⺨堯
M-20691 	&I-M-20691;	⿰⺨彭
M-20692 	&I-M-20692;	⿰⺨&CDP-8CF2;
M-20693 	&I-M-20693;	⿰⺨然
M-20694 	&I-M-20694;	⿰⺨⿱&CDP-8BB5;火
M-20695 	&I-M-20695;	⿰⺨⿱臼&CDP-8DBF;
M-20696 	&I-M-20696;	⿰⺨單
M-20697 	&I-M-20697;	⿰⺨喬
M-20698 	&I-M-20698;	⿰⺨貴
M-20699 	&I-M-20699;	⿰⺨焦
M-20700 	&I-M-20700;	⿰⺨開
M-20701 	&I-M-20701;	⿲⺨東欠
M-20702 	&I-M-20702;	⿰⿱⿰口口虫犬
M-20703 	&M-20703;	
M-20704 	&I-M-20704;	⿰⺨⿱𠦃⿳八&GT-00458;十
M-20705 	&M-20705;	
M-20706 	&I-M-20706;	⿰⺨⿱臼匃
M-20707 	&I-M-20707;	⿰⺨⿱⿰歹攵丗
M-20708 	&M-20708;	
M-20709 	&M-20709;	
M-20710 	&I-M-20710;	⿰⺨⿱右⿵&CDP-8C58;山
M-20711 	&I-M-20711;	⿰答犬
M-20712 	&M-20712;	
M-20713 	𤢀	
M-20714 	&M-20714;	
M-20714'	獣	
M-20715 	&M-20715;	
M-20716 	&M-20716;	
M-20717 	&M-20717;	
M-20718 	&I-M-20718;	⿰⺨馵
M-20719 	&I-M-20719;	⿰⺨當
M-20720 	&M-20720;	
M-20721 	&I-M-20721;	⿰⺨&CDP-8CDF;
M-20722 	&I-M-20722;	⿰⺨農
M-20723 	&I-M-20723;	
M-20724 	&I-M-20724;	⿰⺨睘
M-20725 	&I-M-20725;	⿰⺨蜀
M-20726 	&I-M-20726;	⿰蜀犬
M-20727 	&M-20727;	
M-20728 	&I-M-20728;	⿰⺨歲
M-20729 	&I-M-20729;	⿰⺨會
M-20730 	&I-M-20730;	⿰⺨僉
M-20731 	&I-M-20731;	⿰⺨葵
M-20732 	&M-20732;	
M-20733 	&M-20733;	⿰⺨&GT-48799;
M-20734 	&I-M-20734;	
M-20735 	&I-M-20735;	⿰⺨歇
M-20736 	&I-M-20736;	⿰睪犬
M-20737 	&I-M-20737;	⿰⺨喿
M-20738 	&I-M-20738;	⿰⺨雷
M-20739 	&M-20739;	
M-20740 	&I-M-20740;	⿰⺨⿱𡗜炅
M-20741 	&I-M-20741;	⿰⿱⿰厶厶禺犬
M-20742 	&I-M-20742;	⿰⺨路
M-20743 	&M-20743;	
M-20744 	&M-20744;	
M-20745 	&M-20745;	
M-20746 	&M-20746;	
M-20747 	&I-M-20747;	⿰⺨&GT-29504;
M-20748 	&I-M-20748;	⿰⺨爾
M-20749 	&M-20749;	
M-20750 	&I-M-20750;	⿰⺨⿳冖臼&CDP-8DBF;
M-20751 	&I-M-20751;	⿰⺨與
M-20752 	&M-20752;	
M-20753 	&M-20753;	
M-20754 	&I-M-20754;	⿰⺨熏
M-20755 	&I-M-20755;	⿰⺨&GT-09189;
M-20756 	&I-M-20756;	⿰⺨賓
M-20757 	&M-20757;	
M-20758 	&I-M-20758;	
M-20759 	&I-M-20759;	⿰⺨⿳巛&CDP-8CAE;&CDP-8D46;
M-20760 	&I-M-20760;	⿰⺨需
M-20761 	&M-20761;	⿰⺨&M-31555;
M-20762 	&M-20762;	⿰⺨⿱炎舛
M-20763 	&M-20763;	
M-20764 	&I-M-20764;	⿰⺨樂
M-20765 	&I-M-20765;	⿰⺨&M-03041;
M-20766 	&M-20766;	
M-20767 	&I-M-20767;	⿰⺨⿹𢦏韭
M-20768 	&I-M-20768;	⿰⺨&CDP-8D47;
M-20769 	&M-20769;	
M-20770 	&M-20770;	⿰⺨&M-11170;
M-20771 	&I-M-20771;	⿰⺨畾
M-20772 	&I-M-20772;	⿰⺨頡
M-20773 	&M-20773;	⿰⺨窳
M-20774 	&I-M-20774;	
M-20775 	&I-M-20775;	⿰嘼犬
M-20776 	&M-20776;	
M-20777 	&I-M-20777;	⿰⺨魯
M-20777'	𤢻	⿰⺨慸
M-20778 	&M-20778;	⿰⺨歷
M-20779 	&M-20779;	
M-20780 	&I-M-20780;	⿰⺨盧
M-20781 	&M-20781;	
M-20782 	&I-M-20782;	
M-20783 	&I-M-20783;	
M-20784 	&M-20784;	
M-20785 	&M-20785;	
M-20786 	𤣌	
M-20786'	&GT-26606;	
M-20787 	&M-20787;	⿰⺨⿱雨並
M-20788 	&I-M-20788;	⿰⺨彌
M-20789 	&I-M-20789;	
M-20790 	&I-M-20790;	⿰⺨戲
M-20791 	&I-M-20791;	⿰⺨霝
M-20792 	&I-M-20792;	⿰⺨韱
M-20793 	&I-M-20793;	⿰⺨毚
M-20794 	&M-20794;	
M-20795 	&M-20795;	
M-20796 	&M-20796;	
M-20797 	&M-20797;	
M-20798 	&M-20798;	
M-20799 	&M-20799;	
M-20800 	&M-20800;	
M-20801 	&M-20801;	
M-20802 	&I-M-20802;	⿰⺨⿳丷&CDP-8CD4;政
M-20803 	&I-M-20803;	
M-20804 	&I-M-20804;	
M-20805 	&M-20805;	
M-20806 	&I-M-20806;	⿰⺨蘄
M-20807 	&I-M-20807;	
M-20808 	&I-M-20808;	⿰⺨⿱⿻𦥑囟辰
M-20809 	&I-M-20809;	⿰⺨⿱爾虫
M-20810 	&I-M-20810;	⿰⺨覽
M-20811 	&I-M-20811;	⿰⺨嚻
M-20812 	&I-M-20812;	⿰⺨⿳⿰口口貢⿰口口
M-20813 	&I-M-20813;	⿰⺨靈
M-20814 	&I-M-20814;	
M-20815 	&I-M-20815;	
M-20816 	&I-M-20816;	
M-20817 	&M-20817;	
M-20817'	&GT-26651;	
M-20818 	&M-20818;	
M-20819 	&M-20819;	⿰&GT-26647;⿱山⿱𠂉⺊
M-20820 	&M-20820;	⿰&GT-26647;曷
M-20821 	&I-M-20821;	
M-20822 	&I-M-20822;	
M-20823 	&I-M-20823;	
M-20824 	&I-M-20824;	
M-20825 	&M-20825;	
M-20826 	&I-M-20826;	⿰⺩乚
M-20827 	&I-M-20827;	⿱王&CDP-88CD;
M-20828 	&I-M-20828;	⿰⺩厶
M-20829 	&I-M-20829;	⿰⺩丩
M-20830 	&I-M-20830;	⿰⺩丁
M-20831 	&I-M-20831;	⿰⺩力
M-20832 	&I-M-20832;	⿰⺩卜
M-20833 	&I-M-20833;	
M-20834 	&I-M-20834;	⿰⺩刂
M-20835 	&M-20835;	
M-20836 	&M-20836;	
M-20837 	&I-M-20837;	⿰⺩工
M-20838 	&M-20838;	
M-20839 	&I-M-20839;	⿰⺩乞
M-20840 	&I-M-20840;	⿰⺩乇
M-20841 	&I-M-20841;	
M-20842 	&I-M-20842;	⿰⺩土
M-20843 	&I-M-20843;	⿰⺩子
M-20844 	&I-M-20844;	⿰⺩川
M-20845 	&I-M-20845;	⿰⺩干
M-20846 	&I-M-20846;	⿰⺩久
M-20847 	&I-M-20847;	⿰⺩于
M-20848 	&I-M-20848;	⿰⺩己
M-20849 	&I-M-20849;	⿰⺩亏
M-20850 	&M-20850;	
M-20851 	&M-20851;	
M-20852 	&I-M-20852;	⿰⺩么
M-20853 	&I-M-20853;	⿰⺩尹
M-20854 	&I-M-20854;	⿰⺩爪
M-20855 	&I-M-20855;	
M-20856 	&I-M-20856;	⿰⺩午
M-20857 	&I-M-20857;	⿰⺩夫
M-20858 	&I-M-20858;	⿰⺩帀
M-20859 	&I-M-20859;	⿱仍玉
M-20860 	&I-M-20860;	
M-20861 	&I-M-20861;	⿰⺩介
M-20862 	&I-M-20862;	⿰⺩牙
M-20863 	&I-M-20863;	
M-20864 	&I-M-20864;	⿰⺩卞
M-20865 	&M-20865;	
M-20866 	&I-M-20866;	⿰⺩⿱&CDP-8B6C;又
M-20867 	&I-M-20867;	⿰⺩月
M-20868 	&M-20868;	⿰⺩丑󠄀
M-20869 	&I-M-20869;	⿰⺩夬
M-20870 	&I-M-20870;	⿰⺩允
M-20871 	&I-M-20871;	⿰⺩王
M-20872 	&I-M-20872;	⿰⺩元
M-20873 	&I-M-20873;	⿰⺩今󠄀
M-20874 	&I-M-20874;	⿰⺩攵
M-20875 	&M-20875;	
M-20876 	&I-M-20876;	⿰⺩丹
M-20877 	&M-20877;	⿱內󠄀玉
M-20878 	&M-20878;	
M-20879 	&I-M-20879;	⿰⺩比
M-20880 	&I-M-20880;	⿰⺩犬
M-20881 	&I-M-20881;	⿰⺩欠
M-20882 	&M-20882;	⿰⺩旡
M-20883 	𤤊	
M-20884 	&M-20884;	
M-20885 	&I-M-20885;	⿰⺩𢆰
M-20886 	&M-20886;	
M-20887 	&I-M-20887;	⿰⺩叏
M-20888 	&I-M-20888;	
M-20889 	&I-M-20889;	⿰⺩代
M-20890 	&M-20890;	
M-20891 	&I-M-20891;	⿰⺩世
M-20892 	&I-M-20892;	⿰⺩甘
M-20893 	&I-M-20893;	
M-20894 	&I-M-20894;	
M-20895 	&I-M-20895;	⿰⺩占
M-20896 	&I-M-20896;	⿰⺩包
M-20897 	&I-M-20897;	⿰⺩斥
M-20898 	&I-M-20898;	
M-20899 	&I-M-20899;	⿰⺩皮
M-20900 	&I-M-20900;	⿰⺩此
M-20901 	&I-M-20901;	⿰⺩句
M-20902 	&I-M-20902;	⿰⺩甲
M-20903 	&I-M-20903;	⿰⺩召
M-20904 	&I-M-20904;	⿰⺩白
M-20905 	&I-M-20905;	⿰⺩瓦
M-20906 	&I-M-20906;	⿰⺩可
M-20907 	&I-M-20907;	
M-20908 	&M-20908;	
M-20909 	&I-M-20909;	⿰⺩生
M-20910 	&I-M-20910;	⿰⺩申
M-20911 	&M-20911;	
M-20912 	&I-M-20912;	⿰⺩台
M-20913 	&M-20913;	
M-20914 	&I-M-20914;	⿰⺩且
M-20915 	&I-M-20915;	⿰⺩加
M-20916 	&I-M-20916;	⿰⺩民
M-20917 	&M-20917;	
M-20918 	&I-M-20918;	⿰⺩卯
M-20919 	&I-M-20919;	⿰⺩必
M-20920 	&I-M-20920;	⿰⺩㐱
M-20921 	&I-M-20921;	⿰⺩&GT-09429;
M-20922 	&I-M-20922;	⿰⺩目
M-20923 	&I-M-20923;	⿰⺩𡵄
M-20924 	&M-20924;	
M-20925 	&I-M-20925;	⿰⺩⿰工几
M-20926 	&I-M-20926;	⿰⺩玉
M-20927 	&I-M-20927;	⿰⺩用
M-20928 	&M-20928;	
M-20929 	&M-20929;	
M-20930 	&M-20930;	
M-20931 	&I-M-20931;	⿰⺩囙
M-20932 	&M-20932;	
M-20933 	&M-20933;	
M-20934 	&I-M-20934;	⿰⺩去
M-20935 	&I-M-20935;	⿱&GT-09429;玉
M-20936 	&I-M-20936;	⿰⺩聿
M-20937 	&I-M-20937;	
M-20938 	&M-20938;	
M-20939 	&I-M-20939;	⿰⺩存
M-20940 	&I-M-20940;	⿰⺩劦
M-20941 	&M-20941;	
M-20942 	&I-M-20942;	⿰⺩光
M-20943 	&I-M-20943;	⿰⺩先
M-20944 	&I-M-20944;	⿰⺩舟
M-20945 	&I-M-20945;	⿰⺩共
M-20946 	&M-20946;	
M-20947 	&I-M-20947;	⿰⺩因
M-20948 	&M-20948;	
M-20949 	&I-M-20949;	⿰⺩有
M-20950 	&I-M-20950;	⿰⺩羊
M-20951 	&M-20951;	
M-20952 	&I-M-20952;	
M-20953 	&I-M-20953;	⿰⺩各
M-20954 	&I-M-20954;	⿰⺩夙
M-20955 	&M-20955;	
M-20956 	&I-M-20956;	⿰⺩朱
M-20957 	&I-M-20957;	⿱玨&GT-00458;
M-20958 	&M-20958;	
M-20959 	&M-20959;	
M-20960 	&M-20960;	
M-20961 	&I-M-20961;	⿰⺩艮
M-20962 	&I-M-20962;	⿰⺩旬
M-20963 	&I-M-20963;	⿰⺩缶
M-20964 	&I-M-20964;	
M-20965 	&M-20965;	
M-20966 	&M-20966;	
M-20967 	&I-M-20967;	⿰⺩向
M-20968 	&M-20968;	⿰⺩兆
M-20969 	&I-M-20969;	⿰⺩合
M-20970 	&M-20970;	
M-20971 	&I-M-20971;	⿰⺩行
M-20972 	&I-M-20972;	⿰⺩圭
M-20973 	&M-20973;	⿰⺩充󠄀
M-20974 	&I-M-20974;	⿰⺩戌
M-20975 	&M-20975;	
M-20976 	&I-M-20976;	⿲王&CDP-8BEA;王
M-20977 	&I-M-20977;	⿰⺩&CDP-8DA7;
M-20978 	&M-20978;	
M-20979 	&M-20979;	
M-20980 	&M-20980;	
M-20981 	&M-20981;	
M-20982 	&I-M-20982;	⿰⺩老
M-20983 	&M-20983;	
M-20984 	&M-20984;	
M-20985 	&I-M-20985;	⿰⺩&CDP-894E;
M-20986 	&M-20986;	
M-20987 	&I-M-20987;	⿰⺩我
